   10   10      0.05
   10   50      0.27
   10  100      0.50
   10  500      2.48
   10 1000      4.79
   10 2000      9.54
   50   10      0.25
   50   50      1.25
   50  100      2.53
   50  500      12.56
   50 1000      25.12
   50 2000      50.21
  100   10      0.51
  100   50      2.56
  100  100      5.13
  100  500      25.55
  100 1000      50.95
  100 2000      101.95
  200   10      1.04
  200   50      5.24
  200  100      10.46
  200  500      52.06
  200 1000      105.19
  200 2000      210.01
  300   10      1.63
  300   50      8.12
  300  100      16.21
  300  500      80.88
  300 1000      161.48
  300 2000      325.44
  400   10      2.19
  400   50      11.16
  400  100      22.02
  400  500      111.04
  400 1000      221.14
  400 2000      444.12

   10   10      0.11
   10   50      0.21
   10  100      0.31
   10  500      1.43
   10 1000      2.45
   10 2000      4.81
   50   10      0.42
   50   50      0.51
   50  100      0.65
   50  500      1.63
   50 1000      2.86
   50 2000      5.35
  100   10      0.89
  100   50      0.90
  100  100      1.03
  100  500      2.03
  100 1000      3.30
  100 2000      5.80
  200   10      1.59
  200   50      1.69
  200  100      1.82
  200  500      2.86
  200 1000      4.17
  200 2000      6.70
  300   10      2.39
  300   50      2.44
  300  100      2.57
  300  500      3.58
  300 1000      4.85
  300 2000      7.30
  400   10      3.16
  400   50      3.26
  400  100      3.39
  400  500      4.46
  400 1000      5.78
  400 2000      8.38
