   10   10      0.11
   10   50      0.21
   10  100      0.31
   10  500      1.43
   10 1000      2.45
   10 2000      4.81
   50   10      0.42
   50   50      0.51
   50  100      0.65
   50  500      1.63
   50 1000      2.86
   50 2000      5.35
  100   10      0.89
  100   50      0.90
  100  100      1.03
  100  500      2.03
  100 1000      3.30
  100 2000      5.80
  200   10      1.59
  200   50      1.69
  200  100      1.82
  200  500      2.86
  200 1000      4.17
  200 2000      6.70
  300   10      2.39
  300   50      2.44
  300  100      2.57
  300  500      3.58
  300 1000      4.85
  300 2000      7.30
  400   10      3.16
  400   50      3.26
  400  100      3.39
  400  500      4.46
  400 1000      5.78
  400 2000      8.38
